a,b,c,isValid,isTriangle
0,0,0,等边三角形
0,0,1,等腰三角形
0,0,2,等腰三角形
0,0,50,等腰三角形
0,0,99,等腰三角形
0,0,100,等腰三角形
0,0,101,等腰三角形
0,1,0,等腰三角形
0,1,1,等腰三角形
0,1,2,一般三角形
0,1,50,一般三角形
0,1,99,一般三角形
0,1,100,一般三角形
0,1,101,一般三角形
0,2,0,等腰三角形
0,2,1,一般三角形
0,2,2,等腰三角形
0,2,50,一般三角形
0,2,99,一般三角形
0,2,100,一般三角形
0,2,101,一般三角形
0,50,0,等腰三角形
0,50,1,一般三角形
0,50,2,一般三角形
0,50,50,等腰三角形
0,50,99,一般三角形
0,50,100,一般三角形
0,50,101,一般三角形
0,99,0,等腰三角形
0,99,1,一般三角形
0,99,2,一般三角形
0,99,50,一般三角形
0,99,99,等腰三角形
0,99,100,一般三角形
0,99,101,一般三角形
0,100,0,等腰三角形
0,100,1,一般三角形
0,100,2,一般三角形
0,100,50,一般三角形
0,100,99,一般三角形
0,100,100,等腰三角形
0,100,101,一般三角形
0,101,0,等腰三角形
0,101,1,一般三角形
0,101,2,一般三角形
0,101,50,一般三角形
0,101,99,一般三角形
0,101,100,一般三角形
0,101,101,等腰三角形
1,0,0,等腰三角形
1,0,1,等腰三角形
1,0,2,一般三角形
1,0,50,一般三角形
1,0,99,一般三角形
1,0,100,一般三角形
1,0,101,一般三角形
1,1,0,等腰三角形
1,1,1,等边三角形
1,1,2,等腰三角形
1,1,50,等腰三角形
1,1,99,等腰三角形
1,1,100,等腰三角形
1,1,101,等腰三角形
1,2,0,一般三角形
1,2,1,等腰三角形
1,2,2,等腰三角形
1,2,50,一般三角形
1,2,99,一般三角形
1,2,100,一般三角形
1,2,101,一般三角形
1,50,0,一般三角形
1,50,1,等腰三角形
1,50,2,一般三角形
1,50,50,等腰三角形
1,50,99,一般三角形
1,50,100,一般三角形
1,50,101,一般三角形
1,99,0,一般三角形
1,99,1,等腰三角形
1,99,2,一般三角形
1,99,50,一般三角形
1,99,99,等腰三角形
1,99,100,一般三角形
1,99,101,一般三角形
1,100,0,一般三角形
1,100,1,等腰三角形
1,100,2,一般三角形
1,100,50,一般三角形
1,100,99,一般三角形
1,100,100,等腰三角形
1,100,101,一般三角形
1,101,0,一般三角形
1,101,1,等腰三角形
1,101,2,一般三角形
1,101,50,一般三角形
1,101,99,一般三角形
1,101,100,一般三角形
1,101,101,等腰三角形
2,0,0,等腰三角形
2,0,1,一般三角形
2,0,2,等腰三角形
2,0,50,一般三角形
2,0,99,一般三角形
2,0,100,一般三角形
2,0,101,一般三角形
2,1,0,一般三角形
2,1,1,等腰三角形
2,1,2,等腰三角形
2,1,50,一般三角形
2,1,99,一般三角形
2,1,100,一般三角形
2,1,101,一般三角形
2,2,0,等腰三角形
2,2,1,等腰三角形
2,2,2,等边三角形
2,2,50,等腰三角形
2,2,99,等腰三角形
2,2,100,等腰三角形
2,2,101,等腰三角形
2,50,0,一般三角形
2,50,1,一般三角形
2,50,2,等腰三角形
2,50,50,等腰三角形
2,50,99,一般三角形
2,50,100,一般三角形
2,50,101,一般三角形
2,99,0,一般三角形
2,99,1,一般三角形
2,99,2,等腰三角形
2,99,50,一般三角形
2,99,99,等腰三角形
2,99,100,一般三角形
2,99,101,一般三角形
2,100,0,一般三角形
2,100,1,一般三角形
2,100,2,等腰三角形
2,100,50,一般三角形
2,100,99,一般三角形
2,100,100,等腰三角形
2,100,101,一般三角形
2,101,0,一般三角形
2,101,1,一般三角形
2,101,2,等腰三角形
2,101,50,一般三角形
2,101,99,一般三角形
2,101,100,一般三角形
2,101,101,等腰三角形
50,0,0,等腰三角形
50,0,1,一般三角形
50,0,2,一般三角形
50,0,50,等腰三角形
50,0,99,一般三角形
50,0,100,一般三角形
50,0,101,一般三角形
50,1,0,一般三角形
50,1,1,等腰三角形
50,1,2,一般三角形
50,1,50,等腰三角形
50,1,99,一般三角形
